ATOM_TYPE,X_COORD,Y_COORD,Z_COORD
Ge,2.891280973,2.891280973,8.673842918
Ge,8.673842918,8.673842918,8.673842918
Ge,5.782561945,0,0
Ge,8.673842918,2.891280973,2.891280973
Ge,14.45640486,8.673842918,2.891280973
Ge,11.56512389,0,5.782561945
Ge,14.45640486,2.891280973,8.673842918
Ge,17.34768584,0,0
Ge,20.23896681,2.891280973,2.891280973
Ge,0,11.56512389,5.782561945
Ge,8.673842918,20.23896681,8.673842918
Ge,5.782561945,11.56512389,0
Ge,5.782561945,17.34768584,5.782561945
Ge,11.56512389,11.56512389,5.782561945
Ge,11.56512389,17.34768584,0
Ge,20.23896681,20.23896681,8.673842918
Ge,20.23896681,14.45640486,2.891280973
Ge,2.891280973,8.673842918,14.45640486
Ge,0,5.782561945,11.56512389
Ge,5.782561945,0,11.56512389
Ge,8.673842918,2.891280973,14.45640486
Ge,11.56512389,0,17.34768584
Ge,14.45640486,2.891280973,20.23896681
Ge,17.34768584,0,11.56512389
Ge,17.34768584,5.782561945,17.34768584
Ge,2.891280973,20.23896681,14.45640486
Ge,0,11.56512389,17.34768584
Ge,2.891280973,14.45640486,20.23896681
Ge,5.782561945,11.56512389,11.56512389
Ge,8.673842918,14.45640486,14.45640486
Ge,11.56512389,11.56512389,17.34768584
Ge,11.56512389,17.34768584,11.56512389
Sn,2.891280973,8.673842918,2.891280973
Sn,0,0,5.782561945
Sn,0,5.782561945,0
Sn,5.782561945,5.782561945,5.782561945
Sn,11.56512389,5.782561945,0
Sn,20.23896681,8.673842918,8.673842918
Sn,17.34768584,5.782561945,5.782561945
Sn,2.891280973,20.23896681,2.891280973
Sn,2.891280973,14.45640486,8.673842918
Sn,0,17.34768584,0
Sn,8.673842918,14.45640486,2.891280973
Sn,14.45640486,20.23896681,2.891280973
Sn,14.45640486,14.45640486,8.673842918
Sn,17.34768584,11.56512389,0
Sn,17.34768584,17.34768584,5.782561945
Sn,0,0,17.34768584
Sn,2.891280973,2.891280973,20.23896681
Sn,8.673842918,8.673842918,20.23896681
Sn,5.782561945,5.782561945,17.34768584
Sn,14.45640486,8.673842918,14.45640486
Sn,11.56512389,5.782561945,11.56512389
Sn,20.23896681,8.673842918,20.23896681
Sn,20.23896681,2.891280973,14.45640486
Sn,0,17.34768584,11.56512389
Sn,8.673842918,20.23896681,20.23896681
Sn,5.782561945,17.34768584,17.34768584
Sn,14.45640486,20.23896681,14.45640486
Sn,14.45640486,14.45640486,20.23896681
Sn,20.23896681,20.23896681,20.23896681
Sn,17.34768584,11.56512389,11.56512389
Sn,20.23896681,14.45640486,14.45640486
Sn,17.34768584,17.34768584,17.34768584
