ATOM_TYPE,X_COORD,Y_COORD,Z_COORD
Si,5.7010675059,0.0000000000,0.0000000000
Si,8.5516012588,2.8505337529,2.8505337529
Si,14.2526687647,8.5516012588,2.8505337529
Si,17.1032025177,0.0000000000,0.0000000000
Si,2.8505337529,19.9537362706,2.8505337529
Si,0.0000000000,11.4021350118,5.7010675059
Si,8.5516012588,19.9537362706,8.5516012588
Si,5.7010675059,11.4021350118,0.0000000000
Si,8.5516012588,14.2526687647,2.8505337529
Si,14.2526687647,19.9537362706,2.8505337529
Si,19.9537362706,14.2526687647,2.8505337529
Si,2.8505337529,2.8505337529,19.9537362706
Si,8.5516012588,8.5516012588,19.9537362706
Si,5.7010675059,0.0000000000,11.4021350118
Si,8.5516012588,2.8505337529,14.2526687647
Si,11.4021350118,0.0000000000,17.1032025177
Si,14.2526687647,2.8505337529,19.9537362706
Si,11.4021350118,5.7010675059,11.4021350118
Si,19.9537362706,8.5516012588,19.9537362706
Si,17.1032025177,0.0000000000,11.4021350118
Si,17.1032025177,5.7010675059,17.1032025177
Si,8.5516012588,14.2526687647,14.2526687647
Si,5.7010675059,17.1032025177,17.1032025177
Si,19.9537362706,19.9537362706,19.9537362706
Ge,11.4021350118,0.0000000000,5.7010675059
Ge,14.2526687647,2.8505337529,8.5516012588
Ge,0.0000000000,0.0000000000,17.1032025177
Ge,0.0000000000,5.7010675059,11.4021350118
Ge,14.2526687647,8.5516012588,14.2526687647
Ge,8.5516012588,19.9537362706,19.9537362706
Ge,17.1032025177,11.4021350118,11.4021350118
Ge,19.9537362706,14.2526687647,14.2526687647
Sn,2.8505337529,8.5516012588,2.8505337529
Sn,0.0000000000,0.0000000000,5.7010675059
Sn,2.8505337529,2.8505337529,8.5516012588
Sn,0.0000000000,5.7010675059,0.0000000000
Sn,8.5516012588,8.5516012588,8.5516012588
Sn,5.7010675059,5.7010675059,5.7010675059
Sn,11.4021350118,5.7010675059,0.0000000000
Sn,19.9537362706,8.5516012588,8.5516012588
Sn,19.9537362706,2.8505337529,2.8505337529
Sn,17.1032025177,5.7010675059,5.7010675059
Sn,2.8505337529,14.2526687647,8.5516012588
Sn,0.0000000000,17.1032025177,0.0000000000
Sn,5.7010675059,17.1032025177,5.7010675059
Sn,11.4021350118,11.4021350118,5.7010675059
Sn,14.2526687647,14.2526687647,8.5516012588
Sn,11.4021350118,17.1032025177,0.0000000000
Sn,19.9537362706,19.9537362706,8.5516012588
Sn,17.1032025177,11.4021350118,0.0000000000
Sn,17.1032025177,17.1032025177,5.7010675059
Sn,2.8505337529,8.5516012588,14.2526687647
Sn,5.7010675059,5.7010675059,17.1032025177
Sn,19.9537362706,2.8505337529,14.2526687647
Sn,2.8505337529,19.9537362706,14.2526687647
Sn,0.0000000000,11.4021350118,17.1032025177
Sn,2.8505337529,14.2526687647,19.9537362706
Sn,0.0000000000,17.1032025177,11.4021350118
Sn,5.7010675059,11.4021350118,11.4021350118
Sn,14.2526687647,19.9537362706,14.2526687647
Sn,11.4021350118,11.4021350118,17.1032025177
Sn,14.2526687647,14.2526687647,19.9537362706
Sn,11.4021350118,17.1032025177,11.4021350118
Sn,17.1032025177,17.1032025177,17.1032025177
