Complexity,Loss,Equation
1,1.3746197,"0.9103668"
3,6.8055984e-15,"x0 * x0"
5,2.2584293e-15,"(x0 * x0) + 8.117055e-10"
9,2.0668851e-15,"((x0 + 0.05170498) * (x0 + -0.05170503)) - -0.0026733994"
16,2.0412586e-15,"((x0 * ((x0 * x0) - cos(x0 * 2.4101503e10))) * -1.6725677e-8) + (x0 * x0)"
17,1.9406264e-15,"(((x0 * x0) - cos(exp(x0 * 24.576897))) * (x0 * -1.9356952e-8)) + (x0 * x0)"
18,1.547582e-15,"(x0 * x0) + (x0 * ((x0 * -1.9817252e-8) * (x0 - cos((x0 + -0.5154264) * 4.7164e10))))"
20,1.1212564e-15,"((x0 * (x0 * (x0 - cos(4.7164e10 * (x0 + (x0 + 1.526005)))))) * -2.1798648e-8) + (x0 * x0)"
22,1.0638241e-15,"(x0 * x0) + ((x0 * ((x0 * (x0 - cos((x0 + (x0 + 1.526005)) * 4.7164e10))) - -0.52319056)) * -1.9502279e-8)"
24,9.529382e-16,"(x0 * x0) + ((x0 - (cos(((x0 + 1.526005) + x0) * 4.7164e10) - (1.2501161 / x0))) * (x0 * (x0 * -1.605631e-8)))"
27,9.147549e-16,"(x0 * ((x0 * (x0 - (cos(((x0 + 1.526005) + x0) * 4.7164e10) - (sin(x0 / 0.5748181) * 0.29216644)))) * -2.2439062e-8)) + (x0 * x0)"
