ATOM_TYPE,X_COORD,Y_COORD,Z_COORD
Ge,2.8912809725,2.8912809725,8.6738429176
Ge,8.6738429176,8.6738429176,8.6738429176
Ge,5.7825619451,0.0000000000,0.0000000000
Ge,8.6738429176,2.8912809725,2.8912809725
Ge,14.4564048627,8.6738429176,2.8912809725
Ge,11.5651238901,0.0000000000,5.7825619451
Ge,14.4564048627,2.8912809725,8.6738429176
Ge,17.3476858352,0.0000000000,0.0000000000
Ge,20.2389668077,2.8912809725,2.8912809725
Ge,0.0000000000,11.5651238901,5.7825619451
Ge,8.6738429176,20.2389668077,8.6738429176
Ge,5.7825619451,11.5651238901,0.0000000000
Ge,5.7825619451,17.3476858352,5.7825619451
Ge,11.5651238901,11.5651238901,5.7825619451
Ge,11.5651238901,17.3476858352,0.0000000000
Ge,20.2389668077,20.2389668077,8.6738429176
Ge,20.2389668077,14.4564048627,2.8912809725
Ge,2.8912809725,8.6738429176,14.4564048627
Ge,0.0000000000,5.7825619451,11.5651238901
Ge,5.7825619451,0.0000000000,11.5651238901
Ge,8.6738429176,2.8912809725,14.4564048627
Ge,11.5651238901,0.0000000000,17.3476858352
Ge,14.4564048627,2.8912809725,20.2389668077
Ge,17.3476858352,0.0000000000,11.5651238901
Ge,17.3476858352,5.7825619451,17.3476858352
Ge,2.8912809725,20.2389668077,14.4564048627
Ge,0.0000000000,11.5651238901,17.3476858352
Ge,2.8912809725,14.4564048627,20.2389668077
Ge,5.7825619451,11.5651238901,11.5651238901
Ge,8.6738429176,14.4564048627,14.4564048627
Ge,11.5651238901,11.5651238901,17.3476858352
Ge,11.5651238901,17.3476858352,11.5651238901
Sn,2.8912809725,8.6738429176,2.8912809725
Sn,0.0000000000,0.0000000000,5.7825619451
Sn,0.0000000000,5.7825619451,0.0000000000
Sn,5.7825619451,5.7825619451,5.7825619451
Sn,11.5651238901,5.7825619451,0.0000000000
Sn,20.2389668077,8.6738429176,8.6738429176
Sn,17.3476858352,5.7825619451,5.7825619451
Sn,2.8912809725,20.2389668077,2.8912809725
Sn,2.8912809725,14.4564048627,8.6738429176
Sn,0.0000000000,17.3476858352,0.0000000000
Sn,8.6738429176,14.4564048627,2.8912809725
Sn,14.4564048627,20.2389668077,2.8912809725
Sn,14.4564048627,14.4564048627,8.6738429176
Sn,17.3476858352,11.5651238901,0.0000000000
Sn,17.3476858352,17.3476858352,5.7825619451
Sn,0.0000000000,0.0000000000,17.3476858352
Sn,2.8912809725,2.8912809725,20.2389668077
Sn,8.6738429176,8.6738429176,20.2389668077
Sn,5.7825619451,5.7825619451,17.3476858352
Sn,14.4564048627,8.6738429176,14.4564048627
Sn,11.5651238901,5.7825619451,11.5651238901
Sn,20.2389668077,8.6738429176,20.2389668077
Sn,20.2389668077,2.8912809725,14.4564048627
Sn,0.0000000000,17.3476858352,11.5651238901
Sn,8.6738429176,20.2389668077,20.2389668077
Sn,5.7825619451,17.3476858352,17.3476858352
Sn,14.4564048627,20.2389668077,14.4564048627
Sn,14.4564048627,14.4564048627,20.2389668077
Sn,20.2389668077,20.2389668077,20.2389668077
Sn,17.3476858352,11.5651238901,11.5651238901
Sn,20.2389668077,14.4564048627,14.4564048627
Sn,17.3476858352,17.3476858352,17.3476858352
